4/15/2019,blue plaid skirt,striped shirt,black tights,new black boots,,
4/16/2019,pink tee,black circle skirt,black vans,,,
4/17/2019,white long sleeve crop top,checked wrap dress,black tights,new black boots,,
4/18/2019,polka dot button up,striped skirt,new black boots,,,
4/19/2019,red tee,adidas joggers,black vans,grey striped sweater,,
4/20/2019,black romper,flower crown,black bra,,,
4/22/2019,black triangle dress,new black boots,,,,
4/23/2019,light skinny jeans,black sandals,striped shirt,,,
4/24/2019,saree dress,black vans,,,,
4/25/2019,see through dress,black sandals,,,,
4/26/2019,leggings,black tee,black vans,,,
4/26/2019,navy keyhole dress,black vans,,,,
4/27/2019,checked wrap dress,pink bralette,brown sandals,,,
4/28/2019,black ripped jeans,grey crop top,gold vans,pink bralette,,
4/29/2019,white long sleeve crop top,jumpsuit,black sandals,,,
4/30/2019,black flowered dress,new black boots,,,,
5/1/2019,dark skinny jeans,black vans,grey cable knit sweater,,,
5/2/2019,black lace shirt,blue plaid skirt,black tights,new black boots,,
5/3/2019,r&g t shirt,adidas joggers,sneakers,,,
5/4/2019,light high waisted shorts,long sleeve lace crop top,gold vans,,,
5/5/2019,black long sleeve crop top,red jumper,new black boots,,,
5/6/2019,embroidered dress,brown sandals,,,,
5/7/2019,vine dress,white long sleeve crop top,brown sandals,,,
5/8/2019,purple triangle dress,brown sandals,,,,
5/9/2019,striped shirt,grey plaid skirt,brown sandals,,,
5/10/2019,light skinny jeans,grey crop top,brown sandals,,,
5/11/2019,checked wrap dress,brown sandals,red plaid flannel,,,
5/12/2019,adidas joggers,red plaid flannel,sneakers,,,
5/13/2019,light skinny jeans,red tee,new black boots,,,
5/14/2019,leggings,rosie the riveter tank top,maroon sweater,sneakers,,
5/15/2019,purple lace dress,black tights,black sandals,,,
5/16/2019,embroidered dress,brown sandals,,,,
5/17/2019,navy blue romper,brown sandals,flower crown,,,
5/18/2019,white lace dress,brown sandals,,,,
5/19/2019,pink flowered dress,brown sandals,flower crown,,,
5/21/2019,embroidered dress,brown sandals,,,,
5/22/2019,gold top,blue lehenga skirt,brown sandals,,,
5/22/2019,gold top,white lehenga skirt,brown sandals,,,
5/23/2019,gold top,black petticoat,chiffon saree,brown sandals,,
5/23/2019,red gown,brown sandals,,,,
5/24/2019,light skinny jeans,praetorian tee,brown sandals,,,
5/25/2019,light skinny jeans,black lace shirt,brown sandals,,,
5/26/2019,embroidered dress,brown sandals,,,,
5/27/2019,pink high-low dress,brown sandals,,,,
5/28/2019,dark skinny jeans,pydata tee,brown sandals,,,
5/29/2019,grey linen shorts,triangle crop top,brown sandals,,,
5/30/2019,black patterned shorts,pink tee,brown sandals,,,
5/31/2019,dark skinny jeans,black lace shirt,brown sandals,,,
6/1/2019,embroidered dress,brown sandals,,,,
6/2/2019,black patterned shorts,red tee,brown sandals,,,
6/3/2019,pink flowered pants,black tee,brown sandals,,,
6/4/2019,black patterned shorts,black tee,brown sandals,,,
6/5/2019,cheap long dress,brown sandals,,,,
6/6/2019,red canvas dress,brown sandals,,,,
6/7/2019,pink tee,black patterned shorts,brown sandals,,,
6/8/2019,black tee,pink flowered pants,brown sandals,,,
6/9/2019,leggings,black vans,red tee,,,
6/11/2019,navy blue romper,new black boots,,,,
6/12/2019,light high waisted shorts,black tank top,gold vans,,,
6/12/2019,jumpsuit,gold vans,,,,
6/13/2019,light skinny jeans,black long sleeve crop top,gold vans,,,
6/14/2019,red patterned pants,black lace tank top,brown sandals,pink bralette,,
6/14/2019,gold top,black beaded skirt,brown sandals,,,
6/14/2019,gold top,red maxi skirt,brown sandals,,,
6/15/2019,white long sleeve crop top,black patterned shorts,black vans,,,
6/16/2019,black bralette,yellow flowered skirt,brown sandals,,,
6/17/2019,wedding dress,brown sandals,,,,
6/19/2019,yellow flowered skirt,grey crop top,brown sandals,grey cardigan,,
6/21/2019,red canvas dress,brown sandals,,,,
6/22/2019,black patterned shorts,grey crop top,pink bralette,brown sandals,,
6/23/2019,light high waisted shorts,tribal crop top,brown sandals,,,
6/25/2019,striped skirt,black strappy top,black vans,,,
6/26/2019,light high waisted shorts,red tank top,black vans,,,
6/26/2019,white button dress,brown sandals,,,,
6/27/2019,cream dress,pink bralette,brown sandals,,,
6/28/2019,black patterned shorts,grey crop top,black bralette,brown sandals,,
6/29/2019,green romper,brown sandals,,,,
6/30/2019,cream dress,black bralette,brown sandals,,,
7/1/2019,jumpsuit,brown sandals,,,,
7/2/2019,checked wrap dress,brown sandals,,,,
7/3/2019,purple shorts,white lace crop top,black bralette,brown sandals,,
7/4/2019,black bralette,maroon skirt,brown sandals,,,
7/5/2019,cheap long dress,brown sandals,,,,
7/6/2019,flowered black shorts,long sleeve lace crop top,brown sandals,,,
7/7/2019,white button dress,brown sandals,,,,
7/8/2019,flowered blue shorts,black tank top,brown sandals,,,
7/10/2019,black high waisted shorts,black strappy top,black vans,,,
7/11/2019,light high waisted shorts,triangle crop top,brown sandals,,,
7/11/2019,red canvas dress,brown sandals,,,,
7/12/2019,pink shorts,white lace crop top,black bralette,brown sandals,,
7/13/2019,mf tee,striped skirt,gold vans,,,
7/13/2019,pink flowered dress,brown sandals,,,,
7/14/2019,cheap long dress,brown sandals,,,,
7/15/2019,red canvas dress,brown sandals,,,,
7/16/2019,black triangle dress,brown sandals,,,,
7/17/2019,purple lace dress,brown sandals,,,,
7/18/2019,white lace dress,brown sandals,maroon sweater,,,
7/19/2019,striped skirt,black lace shirt,black vans,,,
7/19/2019,black bralette,black patterned shorts,grey crop top,black knee socks,flower crown,black vans
7/20/2019,maroon bra,red lace up dress,brown sandals,,,
7/22/2019,grey plaid skirt,striped shirt,brown sandals,,,
7/23/2019,blue plaid skirt,black strappy top,new black boots,,,
7/24/2019,black circle skirt,black tank top,red vneck sweater,black sandals,,
7/24/2019,vine dress,black bralette,brown sandals,,,
7/25/2019,purple triangle dress,brown sandals,,,,
7/26/2019,red lace shirt,jumpsuit,black vans,,,
7/27/2018,grey sparkly dress,brown sandals,,,,
7/29/2019,black tee,red jumper,black vans,,,
7/30/2019,soft blue button down,maroon skirt,black vans,,,
7/31/2019,black gingham dress,black vans,,,,
8/1/2019,yellow flowered skirt,black long sleeve crop top,brown sandals,,,
8/2/2019,see through dress,black vans,,,,
8/3/2019,wedding dress,brown sandals,flower crown,,,
8/4/2019,black patterned shorts,black bralette,grey crop top,brown sandals,,
8/5/2019,striped skirt,polka dot button up,new black boots,,,
8/6/2019,maroon knee highs,black flowered dress,new black boots,,,
8/6/2019,navy blue romper,black bralette,brown sandals,,,
8/7/2019,red tee,black high waisted shorts,gold vans,,,
8/8/2019,pink tee,black button skirt,black vans,,,
8/9/2019,white lace crop top,black circle skirt,pink bralette,black vans,,
8/10/2019,black overalls,green and gold saree blouse,gold vans,,,
8/10/2019,red bathing suit,light high waisted shorts,gold vans,rasta belt,,
